tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Alameda Joaquim Eugênio de Lima,"Jardim Paulista, São Paulo",1490000,110,3,1
Casa em condomínio,Rua José Maria Lisboa,"Jardim Paulista, São Paulo",2320000,140,2,1
Apartamento,Avenida Brigadeiro Luís Antônio,"Jardim Paulista, São Paulo",948000,140,3,1
Apartamento,Alameda Joaquim Eugênio de Lima,"Jardim Paulista, São Paulo",1050000,100,3,1
Apartamento,Rua Maestro Elias Lobo,"Jardim Paulista, São Paulo",1450000,127,3,0
Apartamento,Rua Pamplona,"Jardim Paulista, São Paulo",900000,70,2,0
Apartamento,Rua Pamplona,"Jardim Paulista, São Paulo",1380000,64,2,2
Studio e kitnet,Rua Ouro Branco,"Jardim Paulista, São Paulo",470000,35,1,1
Apartamento,Rua Ouro Branco,"Jardim Paulista, São Paulo",1200000,55,1,2
Apartamento,Rua Guarará,"Jardim Paulista, São Paulo",630000,41,1,1
Apartamento,Avenida Brigadeiro Luís Antônio,"Jardim Paulista, São Paulo",780000,87,2,0
Apartamento,Alameda Casa Branca,"Jardim Paulista, São Paulo",1600000,95,2,1
Apartamento,Alameda Lorena,"Jardim Paulista, São Paulo",705000,45,1,1
Apartamento,Avenida Brigadeiro Luís Antônio,"Jardim Paulista, São Paulo",695000,50,1,1
Apartamento,Rua Batataes,"Jardim Paulista, São Paulo",478000,40,1,1
Apartamento,Rua Peixoto Gomide,"Jardim Paulista, São Paulo",395000,45,1,0
Apartamento,Rua Batataes,"Jardim Paulista, São Paulo",1100000,107,3,1
Apartamento,Alameda Fernão Cardim,"Jardim Paulista, São Paulo",1590000,122,3,1
Apartamento,Rua Peixoto Gomide,"Jardim Paulista, São Paulo",480000,67,1,1
Apartamento,Avenida Brigadeiro Luís Antônio,"Jardim Paulista, São Paulo",530000,40,1,1
Apartamento,Alameda Fernão Cardim,"Jardim Paulista, São Paulo",950000,112,2,1
Apartamento,Alameda Lorena,"Jardim Paulista, São Paulo",640000,45,1,1
Apartamento,Rua José Maria Lisboa,"Jardim Paulista, São Paulo",1800000,120,3,2
