tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Cardeal Arcoverde,"Pinheiros, São Paulo",430000,58,2,1
Apartamento,Artur de Azevedo,"Pinheiros, São Paulo",750000,106,2,0
Apartamento,Rua Mourato Coelho,"Pinheiros, São Paulo",395000,46,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",740000,68,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",2100000,154,3,3
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1000000,128,3,1
Apartamento,Rua Teodoro Sampaio,"Pinheiros, São Paulo",700000,96,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",740000,85,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",780000,68,2,0
Apartamento,Rua Butantã,"Pinheiros, São Paulo",650000,117,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1000000,92,2,0
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",2100000,156,2,3
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1280000,125,3,1
Casa,Rua Tucambira,"Pinheiros, São Paulo",2200000,187,3,1
Casa,Rua Francisco Iasi,"Pinheiros, São Paulo",950000,112,3,1
Apartamento,Rua Fradique Coutinho,"Pinheiros, São Paulo",1090000,150,2,1
Apartamento,Rua Cardeal Arcoverde,"Pinheiros, São Paulo",900000,96,2,0
Apartamento,Avenida Pedroso de Morais,"Pinheiros, São Paulo",1280000,67,2,1
Apartamento,Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",1048000,95,3,1
Casa,Rua Padre Carvalho,"Pinheiros, São Paulo",1600000,116,2,1
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1190000,125,3,1
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",2500000,192,3,1
Apartamento,Rua Simão Álvares,"Pinheiros, São Paulo",1250000,85,2,2
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",820000,44,2,1
Apartamento,Rua Doutor Virgílio de Carvalho Pinto,"Pinheiros, São Paulo",1380000,110,3,1
Apartamento,Rua Capote Valente,"Pinheiros, São Paulo",780000,69,2,2
Apartamento,Rua Joaquim Antunes,"Pinheiros, São Paulo",850000,65,2,1
Apartamento,Rua Cristiano Viana,"Pinheiros, São Paulo",850000,85,2,1
Apartamento,Rua dos Pinheiros,"Pinheiros, São Paulo",1850000,72,1,1
Apartamento,Rua Fidalga,"Pinheiros, São Paulo",950000,63,2,1
