tipo,enderecos,regioes,valores,metragem,n_quartos,n_vagas
Apartamento,Rua Amauri,"Jardim Europa, São Paulo",1260000,65,2,1
Apartamento,Pedroso Alvarenga,"Itaim Bibi, São Paulo",920000,105,2,0
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",950000,105,2,0
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",1300000,105,2,0
Apartamento,Rua Joaquim Floriano,"Itaim Bibi, São Paulo",650000,27620,1,0
Apartamento,Rua Joaquim Floriano,"Itaim Bibi, São Paulo",650000,27620,1,0
Apartamento,Rua Maestro Elias Lobo,"Jardim Paulista, São Paulo",800000,100,3,0
Apartamento,Rua Maestro Elias Lobo,"Jardim Paulista, São Paulo",1100000,143,3,0
Apartamento,Rua dos Pinheiros,"Pinheiros, São Paulo",760000,110,2,0
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",2300000,160,3,2
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",2350000,130,2,1
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",1250000,105,2,1
Apartamento,Rua da Mata,"Itaim Bibi, São Paulo",1600000,158,2,0
Apartamento,Rua Professor Artur Ramos,"Jardim Paulistano, São Paulo",2900000,178,3,2
Apartamento,Rua da Mata,"Itaim Bibi, São Paulo",3250000,190,2,2
Apartamento,Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",3250000,226,4,2
Apartamento,Rua Doutor Renato Paes de Barros,"Itaim Bibi, São Paulo",2900000,220,4,3
Apartamento,Avenida São Gabriel,"Itaim Bibi, São Paulo",1000000,100,2,0
Apartamento,Rua da Mata,"Itaim Bibi, São Paulo",1600000,158,3,0
Apartamento,Rua Manuel Guedes,"Itaim Bibi, São Paulo",2495000,198,3,2
Apartamento,Rua Joaquim Floriano,"Itaim Bibi, São Paulo",1000000,102,2,0
Apartamento,Rua Bandeira Paulista,"Itaim Bibi, São Paulo",1300000,94,2,1
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",700000,50,1,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,124,2,1
Apartamento,Rua Jacurici,"Jardim Europa, São Paulo",2250000,160,3,1
Apartamento,Rua Professor Artur Ramos,"Jardim Europa, São Paulo",2500000,160,2,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2400000,145,3,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3800000,196,3,3
Apartamento,Doutor Mário Ferraz,"Jardim Europa, São Paulo",4240000,215,2,1
Studio e kitnet,Rua Campos Bicudo,"Jardim Europa, São Paulo",650000,50,1,1
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",2250000,150,3,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",2990000,143,2,2
Apartamento,Rua Embaixador Raul Fernandes,"Jardim Europa, São Paulo",2500000,100,2,2
Casa,Rua Turquia,"Jardim Europa, São Paulo",7500000,408,3,2
Casa,Avenida Reboucas,"Jardim Europa, São Paulo",9500000,0,0,15
Casa,Rua Polônia,"Jardim Europa, São Paulo",14300000,440,4,6
Casa,Rua Áustria,"Jardim Europa, São Paulo",5900000,420,3,3
Casa,Avenida Europa,"Jardim Europa, São Paulo",9510000,424,4,10
Apartamento,Rua Peruíbe,"Jardim Europa, São Paulo",1560000,95,3,0
Apartamento,Praça das Nações Unidas,"Jardim Europa, São Paulo",17800000,703,4,4
Casa,Rua Alemanha,"Jardim Europa, São Paulo",5000000,300,5,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",3700000,210,3,2
Casa,Rua Iramaia,"Jardim Europa, São Paulo",15000000,365,4,2
Apartamento,Rua Jerônimo da Veiga,"Jardim Europa, São Paulo",4000000,220,3,2
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",1900000,143,3,2
Casa,Rua Grécia,"Jardim Europa, São Paulo",3900000,180,4,2
Apartamento,Rua Tucumã,"Jardim Europa, São Paulo",11500000,291,4,4
Apartamento,Rua Campos Bicudo,"Jardim Europa, São Paulo",2750000,143,2,2
Apartamento,Rua André Fernandes,"Jardim Europa, São Paulo",3400000,180,2,2
Apartamento,Rua Sabuji,"Jardim Europa, São Paulo",9400000,320,4,4
Apartamento,Rua Amauri,"Jardim Europa, São Paulo",2270000,170,3,1
Apartamento,Rua Sabuji,"Jardim Europa, São Paulo",9400000,320,4,4
Apartamento,Rua Tucumã,"Jardim Europa, São Paulo",10000000,285,3,4
Apartamento,Praça Buritama,"Jardim Europa, São Paulo",1980000,150,3,0
Casa,Rua Dona Elisa Pereira de Barros,"Jardim Europa, São Paulo",6200000,400,1,8
Apartamento,Praça Buritama,"Jardim Europa, São Paulo",3100000,150,2,1
Apartamento,Cássio da Costa Vidigal,"Jardim Europa, São Paulo",4500000,200,3,2
Apartamento,Rua Angelina Maffei Vita,"Jardim Europa, São Paulo",7500000,260,4,2
Apartamento,Franz Schubert,"Jardim Europa, São Paulo",3800000,120,1,2
Apartamento,Rua Manuel Guedes,"Jardim Europa, São Paulo",1650000,132,3,1
Studio e kitnet,Rua Doutor Mário Ferraz,"Jardim Europa, São Paulo",1900000,49,1,1
Apartamento,Rua Doutor Mário Ferraz,"Jardim Europa, São Paulo",1400000,50,1,1
Apartamento,Rua Amauri,"Jardim Europa, São Paulo",810000,45,1,1
Apartamento,Rua Amauri,"Jardim Europa, São Paulo",620000,42,1,1
